ds,y
2014-11-29 23:00:00,55430
2014-11-29 23:30:00,52613
2014-11-30 00:00:00,52039
2014-11-30 00:30:00,51257
2014-11-30 01:00:00,50614
2014-11-30 01:30:00,48596
2014-11-30 02:00:00,47266
2014-11-30 02:30:00,46019
2014-11-30 03:00:00,45510
2014-11-30 03:30:00,45140
2014-11-30 04:00:00,45545
2014-11-30 04:30:00,45838
2014-11-30 05:00:00,46598
2014-11-30 05:30:00,47181
2014-11-30 06:00:00,48082
2014-11-30 06:30:00,48626
2014-11-30 07:00:00,49317
2014-11-30 07:30:00,50772
2014-11-30 08:00:00,52399
2014-11-30 08:30:00,53689
2014-11-30 09:00:00,55020
2014-11-30 09:30:00,55814
2014-11-30 10:00:00,56629
2014-11-30 10:30:00,57543
2014-11-30 11:00:00,58633
2014-11-30 11:30:00,59314
2014-11-30 12:00:00,57324
2014-11-30 12:30:00,55566
2014-11-30 13:00:00,54735
2014-11-30 13:30:00,53415
2014-11-30 14:00:00,52742
2014-11-30 14:30:00,52427
2014-11-30 15:00:00,52519
2014-11-30 15:30:00,53397
2014-11-30 16:00:00,56164
2014-11-30 16:30:00,58396
2014-11-30 17:00:00,59878
2014-11-30 17:30:00,61172
2014-11-30 18:00:00,61082
2014-11-30 18:30:00,60610
2014-11-30 19:00:00,59170
2014-11-30 19:30:00,58070
2014-11-30 20:00:00,56314
2014-11-30 20:30:00,55169
2014-11-30 21:00:00,55479
2014-11-30 21:30:00,58235
2014-11-30 22:00:00,57407
2014-11-30 22:30:00,57348
2014-11-28 23:00:00,55322
2014-11-28 23:30:00,52342
2014-11-29 00:00:00,51707
2014-11-29 00:30:00,50594
2014-11-29 01:00:00,50227
2014-11-29 01:30:00,48289
2014-11-29 02:00:00,46980
2014-11-29 02:30:00,46048
2014-11-29 03:00:00,45589
2014-11-29 03:30:00,45376
2014-11-29 04:00:00,46263
2014-11-29 04:30:00,46924
2014-11-29 05:00:00,48320
2014-11-29 05:30:00,49629
2014-11-29 06:00:00,51222
2014-11-29 06:30:00,52290
2014-11-29 07:00:00,53196
2014-11-29 07:30:00,54481
2014-11-29 08:00:00,55797
2014-11-29 08:30:00,56440
2014-11-29 09:00:00,56709
2014-11-29 09:30:00,56822
2014-11-29 10:00:00,56855
2014-11-29 10:30:00,57468
2014-11-29 11:00:00,58186
2014-11-29 11:30:00,58676
2014-11-29 12:00:00,57041
2014-11-29 12:30:00,55492
2014-11-29 13:00:00,54948
2014-11-29 13:30:00,53652
2014-11-29 14:00:00,52966
2014-11-29 14:30:00,52328
2014-11-29 15:00:00,52481
2014-11-29 15:30:00,53605
2014-11-29 16:00:00,56350
2014-11-29 16:30:00,58557
2014-11-29 17:00:00,59699
2014-11-29 17:30:00,60814
2014-11-29 18:00:00,60208
2014-11-29 18:30:00,58839
2014-11-29 19:00:00,57057
2014-11-29 19:30:00,55713
2014-11-29 20:00:00,54415
2014-11-29 20:30:00,53555
2014-11-29 21:00:00,54330
2014-11-29 21:30:00,57304
2014-11-29 22:00:00,57192
2014-11-29 22:30:00,57313
2014-11-27 23:00:00,56370
2014-11-27 23:30:00,53406
2014-11-28 00:00:00,52890
2014-11-28 00:30:00,52395
2014-11-28 01:00:00,51761
2014-11-28 01:30:00,50110
2014-11-28 02:00:00,48797
2014-11-28 02:30:00,48050
2014-11-28 03:00:00,47996
2014-11-28 03:30:00,48492
2014-11-28 04:00:00,50406
2014-11-28 04:30:00,52279
2014-11-28 05:00:00,56651
2014-11-28 05:30:00,60421
2014-11-28 06:00:00,64083
2014-11-28 06:30:00,65357
2014-11-28 07:00:00,65215
2014-11-28 07:30:00,65123
2014-11-28 08:00:00,65287
2014-11-28 08:30:00,64920
2014-11-28 09:00:00,64674
2014-11-28 09:30:00,64292
2014-11-28 10:00:00,64156
2014-11-28 10:30:00,64386
2014-11-28 11:00:00,63561
2014-11-28 11:30:00,63682
2014-11-28 12:00:00,62389
2014-11-28 12:30:00,61441
2014-11-28 13:00:00,61495
2014-11-28 13:30:00,60114
